After 5400 steps, rate is 0.00010.  cost is 3.28016, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 5500 steps, rate is 0.00010.  cost is 3.32515, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 5600 steps, rate is 0.00010.  cost is 2.75647, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 5700 steps, rate is 0.00010.  cost is 2.99469, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 5800 steps, rate is 0.00010.  cost is 3.09479, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 5900 steps, rate is 0.00010.  cost is 3.17695, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6000 steps, rate is 0.00010.  cost is 2.80513, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6100 steps, rate is 0.00010.  cost is 2.91346, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6200 steps, rate is 0.00010.  cost is 3.39644, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6300 steps, rate is 0.00010.  cost is 3.40314, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6400 steps, rate is 0.00010.  cost is 3.41136, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
After 6500 steps, rate is 0.00010.  cost is 3.18098, In iterator: 0. nowCBleu: 0.14145, maxCBlue: 0.14145. nowSBleu: 0.16198, maxSBlue: 0.16198.
