After 5100 steps, rate is 0.00010.  cost is 2.86341, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5200 steps, rate is 0.00010.  cost is 3.16855, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5300 steps, rate is 0.00010.  cost is 3.56520, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5400 steps, rate is 0.00010.  cost is 2.85016, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5500 steps, rate is 0.00010.  cost is 3.60369, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5600 steps, rate is 0.00010.  cost is 3.39670, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5700 steps, rate is 0.00010.  cost is 2.62761, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5800 steps, rate is 0.00010.  cost is 3.45435, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 5900 steps, rate is 0.00010.  cost is 3.24410, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6000 steps, rate is 0.00010.  cost is 3.36652, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6100 steps, rate is 0.00010.  cost is 3.34091, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6200 steps, rate is 0.00010.  cost is 2.98362, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6300 steps, rate is 0.00010.  cost is 3.28659, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6400 steps, rate is 0.00010.  cost is 3.43386, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6500 steps, rate is 0.00010.  cost is 2.95002, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
After 6600 steps, rate is 0.00010.  cost is 3.07397, In iterator: 0. nowCBleu: 0.13160, maxCBlue: 0.13160. nowSBleu: 0.15004, maxSBlue: 0.15004.
