After 5400 steps, rate is 0.00010.  cost is 3.50571, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 5500 steps, rate is 0.00010.  cost is 3.51830, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 5600 steps, rate is 0.00010.  cost is 2.97960, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 5700 steps, rate is 0.00010.  cost is 3.95696, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 5800 steps, rate is 0.00010.  cost is 2.86975, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 5900 steps, rate is 0.00010.  cost is 3.08281, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6000 steps, rate is 0.00010.  cost is 3.71765, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6100 steps, rate is 0.00010.  cost is 3.49491, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6200 steps, rate is 0.00010.  cost is 3.12123, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6300 steps, rate is 0.00010.  cost is 3.22560, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6400 steps, rate is 0.00010.  cost is 3.55840, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6500 steps, rate is 0.00010.  cost is 2.80411, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6600 steps, rate is 0.00010.  cost is 3.06338, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6700 steps, rate is 0.00010.  cost is 3.04824, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6800 steps, rate is 0.00010.  cost is 2.92598, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 6900 steps, rate is 0.00010.  cost is 3.46511, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7000 steps, rate is 0.00010.  cost is 3.02653, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7100 steps, rate is 0.00010.  cost is 3.58167, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7200 steps, rate is 0.00010.  cost is 3.25875, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7300 steps, rate is 0.00010.  cost is 3.48450, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7400 steps, rate is 0.00010.  cost is 2.62424, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7500 steps, rate is 0.00010.  cost is 3.02682, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7600 steps, rate is 0.00010.  cost is 3.64370, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7700 steps, rate is 0.00010.  cost is 2.90732, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7800 steps, rate is 0.00010.  cost is 3.11419, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 7900 steps, rate is 0.00010.  cost is 2.89256, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8000 steps, rate is 0.00010.  cost is 3.04518, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8100 steps, rate is 0.00010.  cost is 3.10797, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8200 steps, rate is 0.00010.  cost is 3.30427, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8300 steps, rate is 0.00010.  cost is 3.16515, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8400 steps, rate is 0.00010.  cost is 3.22046, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
After 8500 steps, rate is 0.00010.  cost is 3.31512, In iterator: 0. nowCBleu: 0.11890, maxCBlue: 0.11890. nowSBleu: 0.13618, maxSBlue: 0.13618.
